Title,Location/Type,Body chars (pre-comp),Section-heading style,Heading colon usage,TitleCase headings,Bold inside <li>,<br> count,Manual bullet glyphs in <p>,Curly quotes,&nbsp; count,Compensation marker found
Autonomy Engineer - Deep Learning,"San Mateo, California, United States - Full-time",2573,bold-<p>,3/3,3,0,0,0,1,1,True
Autonomy Engineer - Deep Learning,"Zurich, Switzerland - Full-time",2574,bold-<p>,3/3,3,0,0,0,1,1,True
Autonomy Engineer - Deep Learning Infrastructure,"San Mateo, California, United States - Full-time",3382,bold-<p>,1/1,1,0,8,0,4,2,True
Autonomy Engineer - Deep Learning Infrastructure,"Zurich, Switzerland - Full-time",3218,bold-<p>,1/1,1,0,6,0,4,0,True
Autonomy Engineer - Deep Learning Model Acceleration,"San Mateo, California, United States - Full-time",3219,bold-<p>,1/1,1,0,6,0,4,0,True
Autonomy Engineer - Deep Learning Model Acceleration,"Zurich, Switzerland - Full-time",3222,bold-<p>,1/1,1,0,6,0,4,0,True
Autonomy Engineer - Fixed Wing Planning & Controls,"San Mateo, California, United States - Full-time",1790,bold-<p>,3/3,3,0,0,0,1,0,True
Autonomy Engineer - ML & DL Infrastructure,"San Mateo, California, United States - Full-time",3174,bold-<p>,3/3,3,0,0,0,4,0,True
Autonomy Engineer Intern - Computer Vision/Deep Learning Fall 2026,"San Mateo, California, United States - Intern",2211,bold-<p>,3/3,3,0,1,0,0,1,True
Autonomy Engineer Intern - Deep Learning (Computational Photography),"San Mateo, California, United States - Intern",4085,bold-<p>,3/3,3,0,0,0,1,0,False
Autonomy Engineer Intern - Deep Learning (Computational Photography),"Zurich, Switzerland or Tampere, Finland - Intern",4085,bold-<p>,3/3,3,0,0,0,1,0,False
Autonomy Engineer Intern Fall 2026,"San Mateo, California, United States - Intern",1867,bold-<p>,3/3,3,0,0,0,0,1,True
Autonomy Software Engineer,"San Mateo, California, United States - Full-time",2795,bold-<p>,1/1,1,0,4,0,0,0,True
Aviation Compliance Lead,"San Mateo, California, United States - Full-time",2979,real h2:3 headings,0/3,0,0,1,0,4,0,True
Aviation Regulatory Program Manager,US Remote - Full-time,3520,real h2:3 headings,0/3,0,0,0,0,3,0,True
Communications Manager,US Remote - Full-time,3105,real h2:3 headings,0/3,0,0,0,0,3,0,True
"Customer Success Manager, DFR Majors - Northeast",US Remote - Full-time,3469,bold-<p>,4/4,4,0,0,0,2,6,True
Deployment Coordinator,US Remote - Full-time,3022,real h2:4 headings,0/4,0,0,0,0,3,0,True
Deployment Engineer - Southeast,US Remote - Full-time,4161,bold-<p>,5/5,5,0,0,0,6,0,True
"Director of Product Management, Drone as First Responder (DFR)","San Mateo, California, United States - Full-time",4137,bold-<p>,2/2,2,0,4,0,3,5,True
"Director, Global Supply Management - Mechanicals","San Mateo, California, United States - Full-time",4416,bold-<p>,3/3,3,0,0,14,1,0,True
"Director, Growth Marketing - Commercial","San Mateo, California, United States - Full-time",4500,bold-<p>,4/5,5,1,8,0,0,0,True
Electric Motor / Propulsion Engineer,"San Mateo, California, United States - Full-time",1915,bold-<p>,2/2,2,0,1,0,0,0,True
Electrical Engineer (all levels),"San Mateo, California, United States - Full-time",1718,bold-<p>,2/2,2,0,2,0,0,0,True
Electrical Engineer (Sustaining/Validation),"San Mateo, California, United States - Full-time",2083,bold-<p>,2/2,2,0,1,0,0,0,True
Engineering Manager - Autonomy,"San Mateo, California, United States - Full-time",2358,bold-<p>,3/3,3,0,1,0,2,0,True
Enterprise Account Manager (MoD/ MoI) – EMEA (Finland),"Tampere, Finland - Full-time",4771,bold-<p>,3/4,4,0,2,0,3,0,True
Enterprise Account Manager (MoD/ MoI) – EMEA (Germany),Germany - Full-time,4771,bold-<p>,3/4,4,0,2,0,3,0,True
Enterprise Account Manager (MoD/ MoI) – EMEA (Switzerland),"Zurich, Switzerland - Full-time",4771,bold-<p>,3/4,4,0,2,0,3,0,True
"Enterprise Account Manager,  US Navy, US Marine Corps, and IC/SOCOM",US Remote - Full-time,3940,bold-<p>,3/3,3,0,0,0,2,0,True
"Enterprise Account Manager, US Army",US Remote - Full-time,3478,bold-<p>,3/3,3,0,0,0,3,0,True
Field Marketing Event Manager,"San Mateo, California, United States - Full-time",3912,MIXED: bold-<p> (3) + real headings (h3:7),3/10,3,0,0,0,5,0,True
Field Support Representative,US Remote - Full-time,3730,bold-<p>,4/4,4,0,0,0,2,0,True
"Field Support Representative (Southwest, Remote)",US Remote - Full-time,5072,bold-<p>,3/3,3,0,0,0,3,13,True
Full Stack Product Counsel,"San Mateo, California, United States - Full-time",3370,real h3:4 headings,0/4,0,0,0,0,6,0,True
GTM Data Engineer Intern,"San Mateo, California, United States - Intern",3214,bold-<p>,4/4,4,11,3,0,2,0,True
GTM Enablement Associate,"San Mateo, California, United States - Full-time",2817,bold-<p>,3/3,3,0,2,0,1,1,True
Hardware Operations Program Manager,"Hayward, California, United States - Full-time",2911,bold-<p>,3/3,3,6,0,0,0,0,True
Hardware Technician,"San Mateo, California, United States - Full-time",2640,bold-<p>,2/2,2,0,0,0,1,0,True
Head of Warehouse & Logistics Operations,US CA Production - Full-time,3235,bold-<p>,3/3,3,0,1,0,6,0,True
