title,location,type,url,word_count,found_compensation_block,cut_signal,uses_real_headings,real_heading_tag_breakdown,uses_bold_pseudo_headings,bold_pseudo_heading_count,heading_colon_style,paragraph_count,ul_count,ol_count,li_total,br_count,italic_count,underline_count,link_count,uses_c_link_class,inline_style_count,emoji_in_body,section_labels
Autonomy Engineer - Deep Learning,"Zurich, Switzerland",Full-time,https://www.skydio.com/jobs/1208ec60-0fb6-4e5d-bf1f-af1312139a84,368,False,li_slug,False,,True,3,all-colon,7,2,0,14,1,0,0,4,False,0,False,About the role: | How you'll make an impact: | What makes you a good fit:
Autonomy Engineer - Deep Learning,"San Mateo, California, United States",Full-time,https://www.skydio.com/jobs/cc83824e-a1cd-4bc7-9206-7264da9fbd61,365,True,compensation,False,,True,3,all-colon,6,2,0,14,0,0,0,0,False,0,False,About the role: | How you'll make an impact: | What makes you a good fit:
Autonomy Engineer - Deep Learning Infrastructure,"Zurich, Switzerland",Full-time,https://www.skydio.com/jobs/06234e2e-6285-43ce-9ae5-417cbfb85436,451,False,li_slug,False,,True,1,all-colon,4,2,0,17,6,0,0,4,False,0,False,What makes you a good fit:
Autonomy Engineer - Deep Learning Infrastructure,"San Mateo, California, United States",Full-time,https://www.skydio.com/jobs/dcb04687-9b4f-425d-8c37-1111cf3ccf3d,481,True,compensation,False,,True,1,all-colon,4,2,0,17,8,0,0,4,True,0,False,What makes you a good fit:
Autonomy Engineer - Deep Learning Model Acceleration,"Zurich, Switzerland",Full-time,https://www.skydio.com/jobs/0aff9e3d-6c59-4463-845c-850b78b48172,452,False,li_slug,False,,True,1,all-colon,4,2,0,17,6,0,0,4,False,0,False,What makes you a good fit:
Autonomy Engineer - Deep Learning Model Acceleration,"San Mateo, California, United States",Full-time,https://www.skydio.com/jobs/cd6d8410-419b-4713-8d4d-7eb72b134d5a,449,True,compensation,False,,True,1,all-colon,3,2,0,17,6,0,0,4,True,0,False,What makes you a good fit:
Autonomy Engineer - Fixed Wing Planning & Controls,"San Mateo, California, United States",Full-time,https://www.skydio.com/jobs/20754382-05e7-4cb6-a0f9-0daf9338ba78,260,True,compensation,False,,True,3,all-colon,5,2,0,12,0,0,0,0,False,0,False,About the Role: | How You'll Make an Impact: | What Makes You a Good Fit:
Autonomy Engineer - ML & DL Infrastructure,"Zurich, Switzerland",Full-time,https://www.skydio.com/jobs/7a611e90-4034-4e35-acce-388f48f7d3c0,454,False,li_slug,False,,True,3,all-colon,9,3,0,13,0,0,0,4,False,0,False,About the Role: | How You'll Make an Impact: | What Makes You a Good Fit:
Autonomy Engineer - ML & DL Infrastructure,"San Mateo, California, United States",Full-time,https://www.skydio.com/jobs/b6be08f7-89c0-48dd-b427-f587f23dbf34,454,True,compensation,False,,True,3,all-colon,8,3,0,13,0,0,0,4,False,0,False,About the Role: | How You'll Make an Impact: | What Makes You a Good Fit:
Autonomy Engineer - Planning and Controls,"Zurich, Switzerland",Full-time,https://www.skydio.com/jobs/d5a3ac9c-7b50-4e51-9600-f3c3105652cd,230,False,li_slug,False,,True,2,all-colon,5,2,0,11,2,0,0,4,False,0,False,About the role: | What makes you a good fit:
