title,team,location,mode,h1,h2,h3,h4,strong,em,u,br,multi_br,empty_p,odd_styles,div,title_whitespace_issue
Autonomy Engineer - Deep Learning,Autonomy,"San Mateo, California, United States",p-strong (norm),0,0,0,0,3,0,0,0,0,0,,0,0
Autonomy Engineer - Deep Learning,Autonomy,"Zurich, Switzerland",p-strong (norm),0,0,0,0,3,0,0,1,0,0,,0,0
Autonomy Engineer - Deep Learning Infrastructure,Autonomy,"San Mateo, California, United States",p-strong (norm),0,0,0,0,3,0,0,8,1,1,,0,0
Autonomy Engineer - Deep Learning Infrastructure,Autonomy,"Zurich, Switzerland",p-strong (norm),0,0,0,0,3,0,0,6,1,0,,0,0
Autonomy Engineer - Deep Learning Model Acceleration,Autonomy,"San Mateo, California, United States",p-strong (norm),0,0,0,0,3,0,0,6,1,0,,0,0
Autonomy Engineer - Deep Learning Model Acceleration,Autonomy,"Zurich, Switzerland",p-strong (norm),0,0,0,0,3,0,0,6,1,0,,0,0
Autonomy Engineer - Fixed Wing Planning & Controls,Autonomy,"San Mateo, California, United States",p-strong (norm),0,0,0,0,3,0,0,0,0,0,,0,0
Autonomy Engineer - ML & DL Infrastructure ,Autonomy,"San Mateo, California, United States",p-strong (norm),0,0,0,0,3,0,0,0,0,3,,0,1
Autonomy Engineer - ML & DL Infrastructure ,Autonomy,"Zurich, Switzerland",p-strong (norm),0,0,0,0,3,0,0,0,0,3,,0,1
Autonomy Engineer - Planning and Controls,Autonomy,"Zurich, Switzerland",p-strong (norm),0,0,0,0,3,0,0,2,0,0,,0,0
Autonomy Engineer Intern - Computer Vision/Deep Learning Fall 2026,Autonomy,"Zurich, Switzerland",p-strong (norm),0,0,0,0,3,0,0,1,0,0,,0,0
Autonomy Engineer Intern - Computer Vision/Deep Learning Fall 2026,Autonomy,"San Mateo, California, United States",p-strong (norm),0,0,0,0,3,0,0,1,0,0,,0,0
Autonomy Engineer Intern - Deep Learning (Computational Photography),Autonomy,"San Mateo, California, United States",p-strong (norm),0,0,0,0,3,0,0,0,0,0,,0,0
Autonomy Engineer Intern - Deep Learning (Computational Photography),Autonomy,"Zurich, Switzerland",p-strong (norm),0,0,0,0,3,0,0,0,0,0,,0,0
Autonomy Engineer Intern Fall 2026,Autonomy,"San Mateo, California, United States",p-strong (norm),0,0,0,0,3,0,0,0,0,0,,0,0
Autonomy Engineer Intern Fall 2026,Autonomy,"Zurich, Switzerland",p-strong (norm),0,0,0,0,3,0,0,0,0,0,,0,0
Autonomy Software Engineer,Autonomy,"San Mateo, California, United States",p-strong (norm),0,0,0,0,3,0,0,4,1,0,,0,0
Engineering Manager - Autonomy,Autonomy,"San Mateo, California, United States",p-strong (norm),0,0,0,0,3,0,0,1,0,0,,0,0
PhD Autonomy Engineer Intern - Deep Learning or Computer Vision,Autonomy,"San Mateo, California, United States",p-strong (norm),0,0,0,0,3,0,0,1,0,0,,0,0
PhD Autonomy Engineer Intern - Deep Learning or Computer Vision,Autonomy,"Zurich, Switzerland",p-strong (norm),0,0,0,0,3,0,0,1,0,0,,0,0
PhD Autonomy Engineer Intern - Planning & Controls (Reinforcement Learning),Autonomy,"Zurich, Switzerland",mixed,0,0,3,0,21,0,0,0,0,0,,0,0
Senior Autonomy Engineer - Controls ,Autonomy,"San Mateo, California, United States",p-strong (norm),0,0,0,0,3,0,0,0,0,0,,0,1
Senior Autonomy Engineer - Deep Learning,Autonomy,"San Mateo, California, United States",p-strong (norm),0,0,0,0,3,0,0,2,1,1,,0,0
Senior Autonomy Engineer - Deep Learning,Autonomy,"Zurich, Switzerland",p-strong (norm),0,0,0,0,3,0,0,3,1,0,,0,0
"Software Engineer - Autonomy Infrastructure, Systems and Tools",Autonomy,"San Mateo, California, United States",heading-tags,0,5,0,0,9,0,0,0,0,1,,0,0
"Software Engineer - Autonomy Infrastructure, Systems and Tools",Autonomy,"Zurich, Switzerland",heading-tags,0,5,0,0,9,0,0,0,0,1,,0,0
Software Engineer - Cloud Simulation & Full-Stack,Autonomy,"San Mateo, California, United States",heading-tags,0,5,0,0,26,0,0,0,0,2,,0,0
Software Engineer - Cloud Simulation & Full-Stack,Autonomy,"Zurich, Switzerland",heading-tags,0,5,0,0,26,0,0,0,0,2,,0,0
Software Engineer - Simulation & Robotics Engineer,Autonomy,"San Mateo, California, United States",heading-tags,0,0,5,0,13,0,0,0,0,2,,0,0
Software Engineer - Simulation & Robotics Engineer,Autonomy,"Zurich, Switzerland",heading-tags,0,0,5,0,13,0,0,0,0,1,,0,0
RF Design Engineer,Connectivity,"San Mateo, California, United States",p-strong (norm),0,0,0,0,3,0,0,0,0,0,,0,0
Senior RF Design Engineer,Connectivity,"San Mateo, California, United States",p-strong (norm),0,0,0,0,3,0,0,0,0,2,,0,0
Senior Wireless Systems Performance Engineer,Connectivity,"San Mateo, California, United States",p-strong (norm),0,0,0,0,3,0,0,0,0,0,,0,0
Wireless Software Engineer,Connectivity,"San Mateo, California, United States",p-strong (norm),0,0,0,0,3,0,0,0,0,0,,0,0
Field Support Representative ,Customer Support,US Remote,p-strong (norm),0,0,0,0,4,0,0,0,0,0,,0,1
"Field Support Representative (Southwest, Remote)",Customer Support,US Remote,p-strong (norm),0,0,0,0,4,0,0,0,0,2,,0,0
"Manager, Technical Support",Customer Support,"San Mateo, California, United States",p-strong (norm),0,0,0,0,6,0,0,0,0,0,,0,0
Product Support Engineer,Customer Support,"San Mateo, California, United States",inline (no headers),0,0,0,0,4,0,0,2,1,2,,0,0
Product Support Engineer Intern,Customer Support,"San Mateo, California, United States",inline (no headers),0,0,0,0,4,0,0,2,1,3,,0,0
Senior Customer Support Representative - India,Customer Support,"Bangalore, India",p-strong (norm),0,0,0,0,4,0,0,0,0,1,,0,0
Senior Technical Support Representative - Japan,Customer Support,"Tokyo, Japan",heading-tags,3,0,0,0,2,0,0,2,1,1,,0,0
 Electrical Engineer (Sustaining/Validation),Hardware,"San Mateo, California, United States",p-strong (norm),0,0,0,0,3,0,0,1,0,0,,0,1
Electrical Engineer (all levels) ,Hardware,"San Mateo, California, United States",p-strong (norm),0,0,0,0,3,0,0,2,1,0,,0,1
Hardware Engineering Program Manager,Hardware,"San Mateo, California, United States",heading-tags,0,3,5,0,6,0,0,0,0,3,,0,0
Lead Staff Electrical Engineer,Hardware,"San Mateo, California, United States",p-strong (norm),0,0,0,0,3,0,1,1,0,2,,0,0
PCB Layout Engineer,Hardware,"San Mateo, California, United States",p-strong (norm),0,0,0,0,3,0,0,2,1,0,,0,0
Product Design Engineer (All Levels),Hardware,"San Mateo, California, United States",p-strong (norm),0,0,0,0,3,0,0,1,0,0,,0,0
Senior Hardware Test and Reliability Engineer,Hardware,"San Mateo, California, United States",p-strong (norm),0,0,0,0,3,0,0,0,0,0,,0,0
Systems Integration and Test Engineer (Mid to Senior Level),Hardware,"San Mateo, California, United States",p-strong (norm),0,0,0,0,3,0,0,0,0,0,,0,0
IT Technician (Help Desk - Linux Focus),IT,"Hayward, California, United States",p-strong (norm),0,0,0,0,6,0,0,9,1,2,,0,0
Full Stack Product Counsel,Legal,"San Mateo, California, United States",heading-tags,0,0,4,0,4,0,1,0,0,8,,0,0
Head of Warehouse & Logistics Operations,Manufacturing,"Hayward, California, United States",p-strong (norm),0,0,0,0,3,0,0,1,0,2,,0,0
"Manager, Logistics ",Manufacturing,"Hayward, California, United States",p-strong (norm),0,0,0,0,3,0,0,0,0,2,min-height:1.2em;margin-top:0;margin-bottom:0,1,1
Senior Buyer,Manufacturing,"Hayward, California, United States",mixed,0,2,0,0,3,0,0,0,0,3,,0,0
Senior NPI Product Quality Engineer,Manufacturing,"San Mateo, California, United States",p-strong (norm),0,0,0,0,4,1,1,0,0,0,,0,0
Communications Manager,Marketing,US Remote,heading-tags,0,3,0,0,4,0,0,0,0,3,,0,0
