title,location,url,pre_word_count,compensation_label_signature,uses_real_headings,spacer_p_count,br_in_li_count,underline_count,bold_italic_count,section_label_count,casing_styles,flags
"Revenue Operations Engineer, Quoting Systems","San Mateo, California, United States - Full-time",https://www.skydio.com/jobs/02d54431-2747-417d-8234-e72c316fed87/?gh_jid=02d54431-2747-417d-8234-e72c316fed87,508,strong|||colon-in|no-range,5,2,3,0,0,21,Mixed=1; Sentence_case=14; ALL_CAPS=4; Title_Case=2,uses real heading tags (5x <h2>); uses 2 empty spacer paragraph(s); forced <br> line-break inside 3/25 bullet items; mixes Title Case + sentence case section labels within the same posting; includes ALL-CAPS section label(s); heading-tag labels include trailing colon (e.g. 'What you’ll drive (scope):')
Senior Technical Support Representative - Japan,"Tokyo, Japan - Full-time",https://www.skydio.com/jobs/f714e85f-31df-494e-bac4-1dd61d4d6066/?gh_jid=f714e85f-31df-494e-bac4-1dd61d4d6066,717,missing,3,1,1,0,0,4,Sentence_case=3; Title_Case=1,uses real heading tags (3x <h1>); no Compensation/Compensation Range label at all; uses 1 empty spacer paragraph(s); forced <br> line-break inside 1/20 bullet items; mixes Title Case + sentence case section labels within the same posting; heading-tag labels include trailing colon (e.g. 'About the role:')
"Director, Growth Marketing - Commercial","San Mateo, California, United States - Full-time",https://www.skydio.com/jobs/00d0bdc5-89ad-4182-8512-ab0a028953f6/?gh_jid=00d0bdc5-89ad-4182-8512-ab0a028953f6,596,strong|||colon-in|no-range,0,3,7,0,1,6,Sentence_case=1; Title_Case=2; Mixed=3,uses 3 empty <p>/<p><br></p> spacer paragraphs; forced <br> line-break inside 7/23 bullet items; combines bold + italic (1x); mixes Title Case + sentence case section labels within the same posting
Full Stack Product Counsel,"San Mateo, California, United States - Full-time",https://www.skydio.com/jobs/c9e40dab-ae7d-4034-a335-b3e05d419672/?gh_jid=c9e40dab-ae7d-4034-a335-b3e05d419672,771,missing,4,8,0,1,0,4,Mixed=4,uses real heading tags (4x <h3>); no Compensation/Compensation Range label at all; uses 8 empty <p>/<p><br></p> spacer paragraphs; uses <u> underline (1x)
PhD Autonomy Engineer Intern - Planning & Controls (Reinforcement Learning),"Zurich, Switzerland - Intern",https://www.skydio.com/jobs/f8225008-00b5-415e-9a48-c9b6eba9363c/?gh_jid=f8225008-00b5-415e-9a48-c9b6eba9363c,442,strong|||colon-out|no-range,3,0,0,0,0,13,Sentence_case=11; Mixed=1; Title_Case=1,uses real heading tags (3x <h3>); colon placed OUTSIDE the bolded label (e.g. '<strong>Compensation Range</strong>:'); mixes Title Case + sentence case section labels within the same posting; heading-tag labels include trailing colon (e.g. 'How you'll make an impact:')
Senior Business Operations Manager,"San Mateo, California, United States - Full-time",https://www.skydio.com/jobs/17b9ecf9-7a47-4811-b035-e1b9a54966aa/?gh_jid=17b9ecf9-7a47-4811-b035-e1b9a54966aa,506,strong|||colon-in|no-range,3,3,0,0,0,6,Mixed=1; Sentence_case=2; Title_Case=3,uses real heading tags (3x <h3>); uses 3 empty <p>/<p><br></p> spacer paragraphs; mixes Title Case + sentence case section labels within the same posting; heading-tag labels include trailing colon (e.g. 'Strategic Sourcing:')
"Software Engineer - Autonomy Infrastructure, Systems and Tools","San Mateo, California, United States - Full-time",https://www.skydio.com/jobs/9e42a7af-6369-4036-ae6f-6626ee3a4fb3/?gh_jid=9e42a7af-6369-4036-ae6f-6626ee3a4fb3,521,strong|||colon-in|no-range,5,1,0,0,0,5,Mixed=2; Title_Case=3,uses real heading tags (5x <h2>); uses 1 empty spacer paragraph(s); section labels written in Title Case (norm = sentence case); heading-tag labels include trailing colon (e.g. 'About the Role:')
"Software Engineer - Autonomy Infrastructure, Systems and Tools","Zurich, Switzerland - Full-time",https://www.skydio.com/jobs/9fc135c5-7a87-410d-8323-e0f918585ebc/?gh_jid=9fc135c5-7a87-410d-8323-e0f918585ebc,521,strong|||colon-in|no-range,5,1,0,0,0,5,Mixed=2; Title_Case=3,uses real heading tags (5x <h2>); uses 1 empty spacer paragraph(s); section labels written in Title Case (norm = sentence case); heading-tag labels include trailing colon (e.g. 'About the Role:')
Software Engineer - Cloud Simulation & Full-Stack,"San Mateo, California, United States - Full-time",https://www.skydio.com/jobs/7d7dfadc-c6fd-4958-8d59-004a91bff55e/?gh_jid=7d7dfadc-c6fd-4958-8d59-004a91bff55e,552,strong|||colon-in|no-range,5,2,0,0,0,5,Mixed=2; Title_Case=3,uses real heading tags (5x <h2>); uses 2 empty spacer paragraph(s); section labels written in Title Case (norm = sentence case); heading-tag labels include trailing colon (e.g. 'About the Role:')
Software Engineer - Cloud Simulation & Full-Stack,"Zurich, Switzerland - Full-time",https://www.skydio.com/jobs/948bddb5-4679-4c7c-bf57-960a0fd1a7ed/?gh_jid=948bddb5-4679-4c7c-bf57-960a0fd1a7ed,552,strong|||colon-in|no-range,5,2,0,0,0,5,Mixed=2; Title_Case=3,uses real heading tags (5x <h2>); uses 2 empty spacer paragraph(s); section labels written in Title Case (norm = sentence case); heading-tag labels include trailing colon (e.g. 'About the Role:')
