title,loc,header_style,header_count,has_h_tag,mixes_header_styles,br,nbsp,empty_p,li_bold_leadin,pre_chars,title_trailing_ws,has_comp_block,headers,uuid
Autonomy Engineer - Deep Learning,"San Mateo, California, United States - Full-time",p_strong,3,False,False,0,1,0,0,2527,False,True,About the role: | How you'll make an impact: | What makes you a good fit:,cc83824e-a1cd-4bc7-9206-7264da9fbd61
Autonomy Engineer - Deep Learning,"Zurich, Switzerland - Full-time",p_strong,3,False,False,0,1,0,0,2554,False,True,About the role: | How you'll make an impact: | What makes you a good fit:,ae12de71-0010-49d3-b171-c0b257e3b6c1
Autonomy Engineer - Deep Learning Infrastructure,"Zurich, Switzerland - Full-time",p_strong,1,False,False,6,0,0,0,3093,False,True,What makes you a good fit:,c051266c-3e00-4906-abd0-21f18db56b3f
Autonomy Engineer - Deep Learning Infrastructure,"San Mateo, California, United States - Full-time",p_strong,1,False,False,8,1,0,0,3359,False,True,What makes you a good fit:,dcb04687-9b4f-425d-8c37-1111cf3ccf3d
Autonomy Engineer - Deep Learning Model Acceleration,"Zurich, Switzerland - Full-time",p_strong,1,False,False,6,0,0,0,3097,False,True,What makes you a good fit:,5892ea83-ad5a-480a-bd9f-2409bb0b644e
Autonomy Engineer - Deep Learning Model Acceleration,"San Mateo, California, United States - Full-time",p_strong,1,False,False,6,0,0,0,3093,False,True,What makes you a good fit:,cd6d8410-419b-4713-8d4d-7eb72b134d5a
Autonomy Engineer - Fixed Wing Planning & Controls,"San Mateo, California, United States - Full-time",p_strong,3,False,False,0,0,0,0,1729,False,True,About the Role: | How You'll Make an Impact: | What Makes You a Good Fit:,20754382-05e7-4cb6-a0f9-0daf9338ba78
Autonomy Engineer - ML & DL Infrastructure,"San Mateo, California, United States - Full-time",p_strong,3,False,False,0,0,2,0,3153,True,True,About the Role: | How You’ll Make an Impact: | What Makes You a Good Fit:,b6be08f7-89c0-48dd-b427-f587f23dbf34
Autonomy Engineer Intern - Computer Vision/Deep Learning Fall 2026,"San Mateo, California, United States - Intern",p_strong,3,False,False,1,1,0,0,2121,False,True,About the role: | How you'll make an impact: | What makes you a strong fit:,c84945f0-b8e0-4272-b636-265d6611a8eb
Autonomy Engineer Intern - Deep Learning (Computational Photography),"San Mateo, California, United States - Intern",p_strong,3,False,False,0,0,0,0,4056,False,False,About the role: | How you'll make an impact: | What makes you a good fit:,d13e3179-e646-4873-84a6-d492a692bc25
Autonomy Engineer Intern - Deep Learning (Computational Photography),"Zurich, Switzerland - Intern",p_strong,3,False,False,0,0,0,0,4056,False,False,About the role: | How you'll make an impact: | What makes you a good fit:,6280ab1d-147d-4f39-8618-a216c18ce0f9
Autonomy Engineer Intern Fall 2026,"San Mateo, California, United States - Intern",p_strong,3,False,False,0,1,0,0,1778,False,True,About the role: | How you'll make an impact: | What makes you a good fit:,17f6173b-c96f-4b02-a6b5-da0a91ad95e5
Autonomy Software Engineer,"San Mateo, California, United States - Full-time",p_strong,1,False,False,4,0,0,0,2695,False,True,What makes you a good fit:,a48fe41b-030b-4f11-bf25-df7446151854
Engineering Manager - Autonomy,"San Mateo, California, United States - Full-time",p_strong,3,False,False,0,0,0,0,2265,False,True,About the role: | How you'll make an impact: | What makes you a good fit:,849ae77c-5ca2-42b5-812b-8b3ad4524a89
PhD Autonomy Engineer Intern - Deep Learning or Computer Vision,"San Mateo, California, United States - Intern",p_strong,3,False,False,1,1,0,1,2171,False,True,About the role: | How you'll make an impact: | What makes you a strong fit:,8d3979a8-c791-4825-8cf4-9b25479b9519
PhD Autonomy Engineer Intern - Planning & Controls (Reinforcement Learning),"Zurich, Switzerland - Intern",h3,5,True,True,0,1,0,8,3206,False,True,About the role: | How you'll make an impact: | What makes this internship different: | What makes you a strong fit: | Nice-to-Haves:,f8225008-00b5-415e-9a48-c9b6eba9363c
Senior Autonomy Engineer - Controls,"San Mateo, California, United States - Full-time",p_strong,3,False,False,0,0,0,0,1598,True,True,About the Role: | How You’ll Make an Impact: | What Makes You a Good Fit:,58b4cdf6-5630-4dd0-aab3-a1ed4d599466
Senior Autonomy Engineer - Data Curation,"San Mateo, California, United States - Full-time",p_strong,5,False,False,0,0,3,0,3135,True,True,About the Role: | How You’ll Make an Impact: | What Makes You a Good Fit: | Nice To Haves: | Working Style:,562c2e8f-c366-4149-945e-0f42f4264b5f
Senior Autonomy Engineer - Deep Learning,"Zurich, Switzerland - Full-time",p_strong,2,False,False,2,1,0,0,2167,False,True,How you'll make an impact: | What makes you a good fit:,a6973c57-132a-4a0d-b130-02d2bdaecd2a
Senior Autonomy Engineer - Deep Learning,"San Mateo, California, United States - Full-time",p_strong,2,False,False,2,1,0,0,2166,False,True,How you'll make an impact: | What makes you a good fit:,a6421d3e-fdd0-48d6-8d8f-3fd605cdf09f
"Software Engineer - Autonomy Infrastructure, Systems and Tools","San Mateo, California, United States - Full-time",h2,5,True,False,0,0,1,4,3818,False,True,About the Role: | Areas of Responsibility: | What You’ll Do: | Qualifications: | Bonus Experience:,9e42a7af-6369-4036-ae6f-6626ee3a4fb3
"Software Engineer - Autonomy Infrastructure, Systems and Tools","Zurich, Switzerland - Full-time",h2,5,True,False,0,0,1,4,3818,False,True,About the Role: | Areas of Responsibility: | What You’ll Do: | Qualifications: | Bonus Experience:,9fc135c5-7a87-410d-8323-e0f918585ebc
Software Engineer - Cloud Simulation & Full-Stack,"San Mateo, California, United States - Full-time",h2,5,True,False,0,0,1,5,4129,False,True,About the Role: | Areas of Responsibility: | What You’ll Do: | Qualifications: | Bonus Experience:,7d7dfadc-c6fd-4958-8d59-004a91bff55e
Software Engineer - Cloud Simulation & Full-Stack,"Zurich, Switzerland - Full-time",h2,5,True,False,0,0,1,5,4129,False,True,About the Role: | Areas of Responsibility: | What You’ll Do: | Qualifications: | Bonus Experience:,948bddb5-4679-4c7c-bf57-960a0fd1a7ed
Software Engineer - Simulation & Robotics Engineer,"Zurich, Switzerland - Full-time",h3,5,True,False,0,0,1,6,3438,False,True,About the Role: | Areas of Responsibility: | What You’ll Do: | Qualifications: | Bonus Experience:,abd4addb-2d11-4207-b3a2-446a09121e39
Software Engineer - Simulation & Robotics Engineer,"San Mateo, California, United States - Full-time",h3,5,True,False,0,0,1,6,3438,False,True,About the Role: | Areas of Responsibility: | What You’ll Do: | Qualifications: | Bonus Experience:,7a8f3e6c-d576-41af-a81e-bf4fe20da12a
RF Design Engineer,"San Mateo, California, United States - Full-time",p_strong,3,False,False,0,0,0,0,2514,False,True,About the Role: | How You’ll Make an Impact: | What Makes You a Good Fit:,f72f1fa5-d3d6-459e-8722-a94ce92ad1c8
Senior Wireless Systems Performance Engineer,"San Mateo, California, United States - Full-time",p_strong,3,False,False,0,4,0,0,2545,False,True,About the role: | How you'll make an impact: | What makes you a good fit:,f1ecf164-714c-4f1a-b672-d763f5724c03
Wireless Hardware Engineer Intern,"San Mateo, California, United States - Intern",p_strong,2,False,False,2,0,0,0,2589,False,True,About the role: | What makes you a good fit:,5e1057a4-214f-4783-b676-c1315cfa81ea
Wireless Software Engineer,"San Mateo, California, United States - Full-time",p_strong,3,False,False,0,1,0,0,2641,False,True,About the role: | How you'll make an impact: | What makes you a good fit:,04fde92b-6a2b-4638-adc2-e8fa91cc1a49
Electrical Engineer (Sustaining/Validation),"San Mateo, California, United States - Full-time",p_strong,2,False,False,1,0,0,0,1903,False,True,About the role: | What makes you a good fit:,8e50c7da-2868-4383-af1f-920584d537fc
Electric Motor / Propulsion Engineer,"San Mateo, California, United States - Full-time",p_strong,2,False,False,1,0,0,0,1734,False,True,How you'll make an impact: | What makes you a good fit:,847c1abe-b3b6-4e97-bc0e-e3f46437287a
Electrical Engineer (all levels),"San Mateo, California, United States - Full-time",p_strong,2,False,False,2,0,0,0,1539,True,True,About the role: | What makes you a good fit:,f0c26a3c-d999-4dc2-8812-b3835f633ded
Hardware Technician,"San Mateo, California, United States - Full-time",p_strong,2,False,False,0,0,2,0,2616,False,True,How You’ll Make an Impact: | What Makes You a Good Fit:,6d5e666b-a0b7-45d4-a4de-45aef141ce10
Lead Staff Electrical Engineer (F10 Program),"San Mateo, California, United States - Full-time",p_strong,2,False,False,1,2,1,0,2165,False,True,How you'll make an impact: | What makes you a good fit:,1bbcf144-7057-4a6e-9d51-4924bfda52b9
PCB Layout Engineer,"San Mateo, California, United States - Full-time",p_strong,2,False,False,2,2,0,0,2373,False,True,About the role: | What makes you a good fit:,eb2f4124-9bd6-49f9-9636-03152c573f7d
Product Design Engineer (All Levels),"San Mateo, California, United States - Full-time",p_strong,2,False,False,1,1,0,0,2936,False,True,How you'll make an impact: | What makes you a good fit:,3f02ead1-8efe-4e3f-9c75-625e74ab57d1
